,date,tz,lat,lon,temp_min,temp_max,temp_1200,temp_0000,temp_1800,temp_0600,cloud_cover,humidity,precipitation_tot,pressure,wind_max_speed,wind_direction
0,2010-01-01,+01:00,41.8002891,12.6004706,10.91,14.17,11.94,14.17,11.48,12.44,93.66,82.73,26.88,995.79,11.13,258.91
1,2010-01-02,+01:00,41.8002891,12.6004706,8.8,14.03,13.11,11.57,12.07,8.97,29.59,72.45,1.41,1005.91,9.51,279.28
2,2010-01-03,+01:00,41.8002891,12.6004706,3.55,8.84,7.74,7.82,6.46,4.29,0.6,63.63,0.0,1020.05,5.4,328.36
3,2010-01-04,+01:00,41.8002891,12.6004706,6.33,8.39,6.72,6.33,8.36,6.45,100.0,84.12,2.4,1016.1,5.7,124.74
4,2010-01-05,+01:00,41.8002891,12.6004706,8.53,13.06,11.89,8.54,13.0,9.12,100.0,87.49,11.71,1003.12,7.16,157.54
5,2010-01-06,+01:00,41.8002891,12.6004706,10.75,13.02,11.84,13.02,11.55,12.06,35.43,79.21,15.48,1001.93,6.01,201.36
6,2010-01-07,+01:00,41.8002891,12.6004706,9.19,12.43,12.08,10.83,11.42,10.22,87.58,66.25,7.47,1010.23,5.76,102.67
7,2010-01-08,+01:00,41.8002891,12.6004706,11.97,14.65,14.3,12.59,13.03,13.28,83.63,89.02,17.86,997.65,8.87,141.21
8,2010-01-09,+01:00,41.8002891,12.6004706,7.72,12.32,10.03,11.84,9.59,9.26,91.7,84.76,20.9,998.28,9.34,221.98
9,2010-01-10,+01:00,41.8002891,12.6004706,6.92,8.95,8.84,7.81,8.71,7.45,43.46,71.83,9.43,1010.01,5.86,236.85
10,2010-01-11,+01:00,41.8002891,12.6004706,5.56,8.57,8.57,8.21,7.26,7.69,100.0,78.2,4.77,1014.71,3.57,250.38
11,2010-01-12,+01:00,41.8002891,12.6004706,2.84,9.74,7.37,5.39,6.88,3.39,1.19,78.91,0.02,1015.36,2.7,322.9
12,2010-01-13,+01:00,41.8002891,12.6004706,4.87,8.5,7.35,4.97,7.86,6.13,100.0,79.2,2.01,1006.97,4.79,76.2
13,2010-01-14,+01:00,41.8002891,12.6004706,2.63,11.2,9.99,5.89,9.24,3.27,31.93,66.64,0.4,1010.5,4.15,114.24
14,2010-01-15,+01:00,41.8002891,12.6004706,5.98,12.46,10.66,8.09,11.1,7.52,99.46,66.29,0.84,1013.03,4.31,80.92
15,2010-01-16,+01:00,41.8002891,12.6004706,3.93,11.84,10.57,5.73,9.37,4.16,0.66,63.35,0.0,1020.74,3.73,46.88
16,2010-01-17,+01:00,41.8002891,12.6004706,6.29,9.5,8.77,6.64,8.96,7.62,100.0,85.01,1.08,1022.15,1.94,86.76
17,2010-01-18,+01:00,41.8002891,12.6004706,4.24,11.28,10.14,7.29,9.23,4.31,13.83,70.17,0.0,1021.38,2.52,342.75
18,2010-01-19,+01:00,41.8002891,12.6004706,3.06,11.58,9.55,6.26,9.47,3.6,0.0,64.69,0.0,1021.5,2.68,55.98
19,2010-01-20,+01:00,41.8002891,12.6004706,2.46,10.91,9.14,4.36,8.8,2.46,29.25,66.18,0.38,1017.03,3.25,101.29
20,2010-01-21,+01:00,41.8002891,12.6004706,4.88,11.92,10.36,7.72,9.63,5.23,4.65,55.49,1.32,1013.95,4.17,34.93
21,2010-01-22,+01:00,41.8002891,12.6004706,1.78,10.6,8.82,4.13,7.58,1.96,0.0,58.49,0.0,1019.02,6.53,2.9
22,2010-01-23,+01:00,41.8002891,12.6004706,1.41,9.44,8.24,3.81,7.41,1.74,10.83,51.81,0.0,1022.78,5.29,21.85
23,2010-01-24,+01:00,41.8002891,12.6004706,2.56,10.3,8.43,3.51,8.86,2.97,59.13,68.26,0.04,1025.38,2.5,87.89
24,2010-01-25,+01:00,41.8002891,12.6004706,5.0,9.13,8.83,5.65,7.78,5.57,100.0,64.98,7.59,1025.32,5.08,75.04
25,2010-01-26,+01:00,41.8002891,12.6004706,6.74,9.65,8.57,6.82,9.29,7.63,100.0,83.96,22.39,1020.72,6.78,108.7
26,2010-01-27,+01:00,41.8002891,12.6004706,5.16,11.59,10.81,7.87,9.29,7.17,98.62,71.79,0.77,1013.02,5.22,22.66
27,2010-01-28,+01:00,41.8002891,12.6004706,2.65,9.35,8.82,4.93,7.64,2.81,88.21,68.26,2.21,1006.3,3.55,243.98
28,2010-01-29,+01:00,41.8002891,12.6004706,3.64,10.39,9.39,5.61,8.89,3.73,97.34,74.66,2.29,999.48,5.59,226.01
29,2010-01-30,+01:00,41.8002891,12.6004706,8.77,11.55,10.53,9.44,10.86,9.67,72.13,80.38,12.49,992.85,6.95,256.64
30,2010-01-31,+01:00,41.8002891,12.6004706,3.45,8.98,8.86,7.89,7.13,6.95,83.68,68.79,2.91,1000.0,4.9,274.85
31,2010-02-01,+01:00,41.8002891,12.6004706,0.26,8.02,6.1,3.01,5.74,0.48,0.3,61.94,0.05,1012.32,4.82,0.99
32,2010-02-02,+01:00,41.8002891,12.6004706,0.79,8.52,6.45,1.63,5.59,1.26,0.0,52.5,0.0,1021.53,4.13,359.29
33,2010-02-03,+01:00,41.8002891,12.6004706,3.51,11.11,9.67,4.11,10.53,4.26,29.44,72.0,2.31,1022.57,3.52,148.65
34,2010-02-04,+01:00,41.8002891,12.6004706,7.21,13.11,12.22,8.74,11.13,7.39,89.52,71.71,0.46,1023.87,5.34,149.06
35,2010-02-05,+01:00,41.8002891,12.6004706,7.94,12.5,11.04,8.38,11.18,8.55,98.02,76.69,9.21,1016.34,8.5,134.38
36,2010-02-06,+01:00,41.8002891,12.6004706,5.77,11.81,9.33,11.81,7.71,9.59,90.52,82.43,4.94,1006.27,8.03,253.16
37,2010-02-07,+01:00,41.8002891,12.6004706,3.99,11.8,10.53,5.74,8.86,4.18,2.72,66.31,0.0,1004.25,6.25,359.55
38,2010-02-08,+01:00,41.8002891,12.6004706,2.55,10.13,8.63,5.1,7.98,2.99,1.32,60.21,0.0,1006.39,4.92,18.63
39,2010-02-09,+01:00,41.8002891,12.6004706,5.11,9.02,8.53,5.37,7.91,6.05,100.0,72.44,12.11,1002.7,7.41,88.84
40,2010-02-10,+01:00,41.8002891,12.6004706,5.56,8.85,8.7,8.41,7.75,8.17,100.0,85.86,15.43,988.07,8.25,106.73
41,2010-02-11,+01:00,41.8002891,12.6004706,3.83,9.2,8.44,4.91,8.31,3.92,69.9,67.35,1.02,995.52,8.46,222.29
42,2010-02-12,+01:00,41.8002891,12.6004706,1.38,5.31,2.98,5.23,4.08,4.68,88.38,95.12,10.37,999.88,4.79,192.85
43,2010-02-13,+01:00,41.8002891,12.6004706,1.66,9.6,7.68,2.81,7.04,1.8,49.33,71.13,0.16,1011.45,3.69,355.73
44,2010-02-14,+01:00,41.8002891,12.6004706,5.56,10.46,8.12,6.41,9.25,5.74,93.56,70.25,1.83,1004.36,3.56,18.49
45,2010-02-15,+01:00,41.8002891,12.6004706,3.91,10.22,9.84,5.34,9.29,3.91,43.54,70.87,1.22,1007.39,3.44,195.01
46,2010-02-16,+01:00,41.8002891,12.6004706,7.85,10.1,9.36,8.62,9.28,7.85,100.0,77.92,11.2,1003.1,7.11,98.81
47,2010-02-17,+01:00,41.8002891,12.6004706,8.5,12.91,12.26,8.9,12.19,8.53,100.0,83.8,4.06,1000.35,5.92,144.88
48,2010-02-18,+01:00,41.8002891,12.6004706,10.98,15.29,14.79,12.54,13.68,11.72,34.95,78.22,11.5,1006.86,5.32,151.33
49,2010-02-19,+01:00,41.8002891,12.6004706,10.84,16.29,14.14,11.17,15.77,12.34,97.77,84.6,11.25,995.08,9.84,124.21
50,2010-02-20,+01:00,41.8002891,12.6004706,9.64,13.41,12.32,13.41,11.02,11.66,81.82,69.48,7.46,997.92,9.23,255.9
51,2010-02-21,+01:00,41.8002891,12.6004706,6.35,13.23,12.99,9.95,11.69,6.97,19.83,51.48,1.13,1011.66,5.56,160.35
52,2010-02-22,+01:00,41.8002891,12.6004706,9.92,13.42,12.43,10.96,12.37,9.96,64.9,91.41,19.66,1006.01,6.92,136.74
53,2010-02-23,+01:00,41.8002891,12.6004706,12.15,16.6,16.1,12.18,14.67,12.49,23.8,77.0,12.36,1005.54,4.34,222.36
54,2010-02-24,+01:00,41.8002891,12.6004706,10.25,15.25,14.69,12.92,13.0,12.29,69.64,78.49,11.55,1005.17,3.02,255.38
55,2010-02-25,+01:00,41.8002891,12.6004706,7.63,15.27,14.63,9.61,13.23,7.96,6.5,68.3,0.02,1010.23,3.58,123.72
56,2010-02-26,+01:00,41.8002891,12.6004706,12.17,16.29,15.08,12.54,15.05,12.52,50.56,82.78,1.5,1005.28,7.54,245.57
57,2010-02-27,+01:00,41.8002891,12.6004706,9.41,15.46,14.71,11.92,13.43,9.98,2.93,58.87,0.0,1014.27,3.99,285.08
58,2010-02-28,+01:00,41.8002891,12.6004706,11.6,16.38,15.85,11.6,15.87,12.33,97.5,57.51,0.0,1009.46,8.95,134.7
59,2010-03-01,+01:00,41.8002891,12.6004706,12.83,14.87,14.71,14.73,13.72,13.43,37.91,86.63,8.46,1012.54,5.68,256.3
60,2010-03-02,+01:00,41.8002891,12.6004706,9.69,15.95,15.29,12.56,13.26,10.61,15.19,74.84,0.6,1020.46,4.11,266.27
61,2010-03-03,+01:00,41.8002891,12.6004706,9.6,15.44,14.5,9.84,14.98,10.97,33.39,64.78,2.43,1014.86,7.87,140.04
62,2010-03-04,+01:00,41.8002891,12.6004706,9.04,14.56,13.79,13.99,11.92,12.57,44.46,82.9,11.53,998.28,7.51,140.27
63,2010-03-05,+01:00,41.8002891,12.6004706,5.57,11.16,10.88,8.67,8.96,5.89,52.36,66.7,1.65,1010.27,4.39,332.13
64,2010-03-06,+01:00,41.8002891,12.6004706,3.29,9.89,8.79,5.18,8.67,3.57,96.24,51.05,0.0,1018.02,5.14,15.21
65,2010-03-07,+01:00,41.8002891,12.6004706,2.97,12.13,11.2,5.23,10.67,2.97,84.34,49.25,0.0,1014.31,3.27,32.44
66,2010-03-08,+01:00,41.8002891,12.6004706,3.81,11.08,10.38,7.05,9.6,3.9,40.54,49.82,0.08,1007.83,4.12,22.83
67,2010-03-09,+01:00,41.8002891,12.6004706,6.09,8.62,6.46,8.48,8.36,6.28,100.0,80.54,22.86,998.74,10.08,99.86
68,2010-03-10,+01:00,41.8002891,12.6004706,7.14,10.53,9.66,7.23,9.43,8.49,45.65,76.52,9.79,1004.57,4.26,220.96
69,2010-03-11,+01:00,41.8002891,12.6004706,5.25,8.37,8.1,8.04,7.07,6.82,86.08,76.86,11.44,1009.79,5.94,223.8
70,2010-03-12,+01:00,41.8002891,12.6004706,4.0,10.31,10.12,5.06,9.76,4.0,51.8,65.46,0.88,1016.89,3.37,188.21
71,2010-03-13,+01:00,41.8002891,12.6004706,4.46,12.58,11.86,6.23,11.9,4.46,62.14,55.98,0.2,1018.08,3.15,282.01
72,2010-03-14,+01:00,41.8002891,12.6004706,4.21,11.95,11.68,7.02,11.01,4.32,50.18,67.42,0.37,1019.53,2.93,237.11
73,2010-03-15,+01:00,41.8002891,12.6004706,5.12,13.13,12.72,8.72,11.82,5.12,17.46,63.76,0.0,1019.82,3.54,263.95
74,2010-03-16,+01:00,41.8002891,12.6004706,5.96,13.29,13.1,8.59,12.11,6.07,15.79,57.88,0.47,1023.0,4.47,299.56
75,2010-03-17,+01:00,41.8002891,12.6004706,5.06,15.44,14.54,8.12,13.07,5.06,0.0,51.37,0.0,1032.3,4.06,285.04
76,2010-03-18,+01:00,41.8002891,12.6004706,5.15,14.46,14.19,8.99,12.66,5.15,94.26,58.93,0.0,1034.83,3.17,211.3
77,2010-03-19,+01:00,41.8002891,12.6004706,6.2,14.57,14.23,7.58,13.17,6.2,84.48,64.95,0.0,1032.71,3.21,181.27
78,2010-03-20,+01:00,41.8002891,12.6004706,9.11,15.37,15.37,11.03,13.93,9.11,62.34,70.93,0.0,1028.84,4.89,161.32
79,2010-03-21,+01:00,41.8002891,12.6004706,10.66,16.53,16.53,11.71,14.89,10.66,100.0,61.95,0.04,1026.21,5.11,153.72
80,2010-03-22,+01:00,41.8002891,12.6004706,12.31,17.62,16.49,13.05,16.31,12.62,99.34,62.9,0.14,1021.56,4.19,110.7
81,2010-03-23,+01:00,41.8002891,12.6004706,10.42,16.41,15.79,12.04,15.57,10.42,98.4,75.99,0.14,1018.88,1.9,66.94
82,2010-03-24,+01:00,41.8002891,12.6004706,11.35,16.33,15.79,12.66,15.33,11.42,31.18,78.28,0.14,1017.57,3.21,249.86
83,2010-03-25,+01:00,41.8002891,12.6004706,9.38,16.85,15.28,11.2,15.48,9.38,75.23,78.04,0.02,1019.58,4.58,173.02
84,2010-03-26,+01:00,41.8002891,12.6004706,11.34,17.97,17.77,12.35,15.33,11.51,64.86,68.2,0.01,1020.12,5.19,183.38
85,2010-03-27,+01:00,41.8002891,12.6004706,10.83,15.31,15.28,14.12,13.53,11.9,48.46,63.72,2.61,1015.75,6.1,242.11
86,2010-03-28,+01:00,41.8002891,12.6004706,8.78,17.22,16.8,10.72,15.33,8.78,8.69,59.04,0.0,1016.45,3.42,253.24
87,2010-03-29,+02:00,41.8002891,12.6004706,9.1,16.3,15.24,11.85,15.93,9.45,95.76,73.11,0.04,1018.63,5.9,155.47
88,2010-03-30,+02:00,41.8002891,12.6004706,11.85,17.47,16.32,12.31,16.11,13.06,100.0,68.4,0.29,1009.79,8.22,140.67
89,2010-03-31,+02:00,41.8002891,12.6004706,11.17,16.19,15.84,14.01,15.09,11.84,25.28,63.78,0.15,1012.03,6.54,264.14
90,2010-04-01,+02:00,41.8002891,12.6004706,8.95,16.87,15.88,11.97,15.65,8.95,7.52,61.33,0.56,1016.2,5.37,178.01
91,2010-04-02,+02:00,41.8002891,12.6004706,9.49,15.52,15.0,12.06,14.94,9.7,48.67,64.33,0.02,1017.75,3.58,284.62
92,2010-04-03,+02:00,41.8002891,12.6004706,6.83,16.21,15.78,9.94,15.19,7.1,0.0,48.74,0.0,1022.4,3.48,216.23
93,2010-04-04,+02:00,41.8002891,12.6004706,9.26,13.81,11.04,10.45,13.63,9.32,100.0,87.75,15.04,1018.72,7.89,138.52
94,2010-04-05,+02:00,41.8002891,12.6004706,10.11,14.2,13.2,13.77,13.3,11.77,86.28,77.65,3.98,1019.59,8.27,246.65
95,2010-04-06,+02:00,41.8002891,12.6004706,7.02,17.03,15.76,9.93,16.14,7.33,25.8,53.13,0.0,1025.17,5.14,291.35
96,2010-04-07,+02:00,41.8002891,12.6004706,7.7,17.3,16.67,9.76,15.89,7.7,0.0,58.52,0.0,1021.12,3.76,161.37
97,2010-04-08,+02:00,41.8002891,12.6004706,9.11,17.0,16.19,10.5,15.31,9.11,99.76,59.34,0.01,1019.31,3.06,259.32
98,2010-04-09,+02:00,41.8002891,12.6004706,11.43,16.85,16.74,12.75,15.85,11.61,99.52,61.44,0.27,1022.36,3.91,257.72
99,2010-04-10,+02:00,41.8002891,12.6004706,9.03,18.36,17.56,12.0,17.62,9.14,13.48,57.99,0.01,1020.05,3.9,272.3
100,2010-04-11,+02:00,41.8002891,12.6004706,11.14,15.48,14.92,13.49,14.69,11.58,45.34,78.83,1.91,1010.67,4.81,193.04
101,2010-04-12,+02:00,41.8002891,12.6004706,10.21,14.23,13.18,11.31,13.86,10.61,98.66,79.17,10.76,1007.02,3.48,82.47
102,2010-04-13,+02:00,41.8002891,12.6004706,10.76,15.71,14.87,11.96,15.18,11.33,93.0,72.4,0.79,1009.85,3.96,271.23
103,2010-04-14,+02:00,41.8002891,12.6004706,8.49,15.21,14.72,10.69,14.58,9.18,99.7,71.79,0.04,1012.49,3.38,230.98
104,2010-04-15,+02:00,41.8002891,12.6004706,9.67,17.12,16.28,11.3,15.99,9.68,37.78,65.57,0.0,1011.89,2.98,271.87
105,2010-04-16,+02:00,41.8002891,12.6004706,11.75,17.64,17.39,12.62,16.86,11.88,94.79,68.63,0.0,1011.15,3.31,255.24
106,2010-04-17,+02:00,41.8002891,12.6004706,10.65,16.8,16.48,13.92,15.78,10.8,60.19,73.04,0.48,1014.22,3.52,205.94
107,2010-04-18,+02:00,41.8002891,12.6004706,10.97,18.08,17.25,13.01,16.5,11.01,100.0,67.42,0.02,1014.99,2.89,253.66
