,date,tz,lat,lon,temp_min,temp_max,temp_1200,temp_0000,temp_1800,temp_0600,cloud_cover,humidity,precipitation_tot,pressure,wind_max_speed,wind_direction
0,2013-01-01,+01:00,41.8002891,12.6004706,0.93,12.93,8.93,5.56,9.93,1.93,40.0,76.0,2.13,1019.0,3.09,150.0
1,2013-01-02,+01:00,41.8002891,12.6004706,7.93,13.01,12.01,8.93,9.93,7.93,40.0,71.0,1.76,1018.0,6.69,140.0
2,2013-01-03,+01:00,41.8002891,12.6004706,5.93,13.93,10.93,8.93,9.93,6.93,20.0,71.0,0.0,1032.0,2.57,30.0
3,2013-01-04,+01:00,41.8002891,12.6004706,3.93,12.93,8.93,5.93,10.93,3.93,20.0,76.0,0.0,1030.0,2.57,60.0
4,2013-01-05,+01:00,41.8002891,12.6004706,3.93,11.93,7.93,5.93,7.93,3.93,0.0,87.0,0.0,1021.0,3.09,20.0
5,2013-01-06,+01:00,41.8002891,12.6004706,2.93,14.93,9.93,4.93,9.93,3.93,20.0,76.0,0.0,1022.0,4.12,70.0
6,2013-01-07,+01:00,41.8002891,12.6004706,4.93,14.93,9.93,9.93,10.93,6.93,40.0,87.0,0.0,1020.0,3.09,40.0
7,2013-01-08,+01:00,41.8002891,12.6004706,2.93,12.93,8.93,6.93,9.93,2.93,75.0,81.0,0.0,1025.0,2.06,60.0
8,2013-01-09,+01:00,41.8002891,12.6004706,5.93,12.93,12.93,6.93,11.01,7.01,40.0,62.0,0.0,1022.0,2.1,50.0
9,2013-01-10,+01:00,41.8002891,12.6004706,8.93,11.93,11.93,9.93,9.93,10.93,75.0,82.0,2.2,1012.0,6.17,130.0
10,2013-01-11,+01:00,41.8002891,12.6004706,3.93,10.93,9.93,5.93,8.93,3.93,40.0,93.0,5.31,1008.0,5.14,200.0
11,2013-01-12,+01:00,41.8002891,12.6004706,2.93,12.93,11.93,3.93,9.93,2.93,20.0,67.0,0.0,1015.0,3.6,180.0
12,2013-01-13,+01:00,41.8002891,12.6004706,7.93,11.93,9.93,9.93,11.93,7.93,75.0,93.0,12.22,1012.0,9.77,170.0
13,2013-01-14,+01:00,41.8002891,12.6004706,6.93,12.93,11.93,8.93,9.93,9.93,40.0,88.0,28.49,1008.0,8.23,160.0
14,2013-01-15,+01:00,41.8002891,12.6004706,4.93,11.93,10.93,6.93,6.93,5.93,40.0,71.0,5.88,1010.0,4.63,160.0
15,2013-01-16,+01:00,41.8002891,12.6004706,3.93,7.93,6.01,6.93,4.93,5.01,40.0,100.0,19.15,996.0,8.23,140.0
16,2013-01-17,+01:00,41.8002891,12.6004706,2.93,8.93,6.93,3.93,5.93,4.93,75.0,100.0,7.33,994.0,7.2,150.0
17,2013-01-18,+01:00,41.8002891,12.6004706,0.93,7.93,6.93,2.93,4.93,3.93,75.0,70.0,1.34,997.0,10.8,330.0
18,2013-01-19,+01:00,41.8002891,12.6004706,-0.07,12.01,4.93,0.93,10.01,-0.07,40.0,100.0,3.19,1001.0,11.3,140.0
19,2013-01-20,+01:00,41.8002891,12.6004706,10.93,14.93,13.93,11.93,12.93,14.93,40.0,94.0,18.82,998.0,10.8,150.0
20,2013-01-21,+01:00,41.8002891,12.6004706,6.93,13.01,8.01,10.93,8.93,9.93,75.0,81.0,9.76,996.0,6.17,150.0
21,2013-01-22,+01:00,41.8002891,12.6004706,4.93,11.01,11.01,9.93,6.93,7.93,40.0,61.0,3.92,1003.0,5.7,240.0
22,2013-01-23,+01:00,41.8002891,12.6004706,3.93,9.93,7.93,4.93,7.93,5.93,40.0,93.0,10.57,1007.0,7.2,130.0
23,2013-01-24,+01:00,41.8002891,12.6004706,4.93,10.12,7.93,6.93,8.01,4.93,75.0,81.0,2.4,996.0,3.6,60.0
24,2013-01-25,+01:00,41.8002891,12.6004706,2.92,11.39,9.9,5.07,7.97,2.97,40.0,61.0,0.0,999.0,6.17,360.0
25,2013-01-26,+01:00,41.8002891,12.6004706,0.97,9.29,5.97,3.97,6.08,2.09,20.0,56.0,0.0,1005.0,4.63,20.0
26,2013-01-27,+01:00,41.8002891,12.6004706,0.25,10.81,6.26,2.09,7.0,0.34,20.0,62.0,0.0,1014.0,3.6,50.0
27,2013-01-28,+01:00,41.8002891,12.6004706,2.31,9.07,8.89,2.31,7.97,7.18,40.0,92.0,14.23,1010.0,7.72,140.0
28,2013-01-29,+01:00,41.8002891,12.6004706,2.93,12.93,7.93,5.93,9.93,3.93,0.0,76.0,0.0,1023.0,3.09,360.0
29,2013-01-30,+01:00,41.8002891,12.6004706,2.93,13.93,9.93,4.93,11.93,2.93,0.0,66.0,0.0,1022.0,3.09,200.0
30,2013-01-31,+01:00,41.8002891,12.6004706,5.93,16.93,12.93,9.93,12.93,5.93,20.0,72.0,0.0,1022.0,4.63,190.0
31,2013-02-01,+01:00,41.8002891,12.6004706,5.93,15.01,14.01,9.93,11.93,6.93,20.0,71.0,0.0,1017.0,8.75,150.0
32,2013-02-02,+01:00,41.8002891,12.6004706,8.93,14.93,13.93,12.93,10.93,11.93,40.0,77.0,6.58,995.0,9.26,160.0
33,2013-02-03,+01:00,41.8002891,12.6004706,3.93,9.93,7.93,9.93,8.93,5.93,75.0,81.0,5.19,1001.0,7.2,200.0
34,2013-02-04,+01:00,41.8002891,12.6004706,-0.07,11.93,7.93,3.93,8.93,0.93,0.0,42.0,0.0,1019.0,4.12,260.0
35,2013-02-05,+01:00,41.8002891,12.6004706,3.93,10.93,10.93,3.93,10.93,3.93,75.0,71.0,0.31,1015.0,7.2,150.0
36,2013-02-06,+01:00,41.8002891,12.6004706,3.93,11.93,10.93,7.93,8.93,9.93,40.0,71.0,4.25,1002.0,7.72,250.0
37,2013-02-07,+01:00,41.8002891,12.6004706,2.93,9.93,6.93,4.93,5.93,3.93,40.0,87.0,9.24,997.0,7.72,150.0
38,2013-02-08,+01:00,41.8002891,12.6004706,1.93,9.93,8.93,2.93,6.93,2.93,20.0,46.0,0.0,1002.0,6.69,350.0
39,2013-02-09,+01:00,41.8002891,12.6004706,-0.07,7.93,5.93,1.93,5.93,-0.07,40.0,42.0,0.0,1008.0,6.17,330.0
40,2013-02-10,+01:00,41.8002891,12.6004706,-2.07,6.93,4.93,-0.07,4.93,-2.07,20.0,45.0,0.0,1012.0,5.14,330.0
41,2013-02-11,+01:00,41.8002891,12.6004706,1.93,9.93,7.93,1.93,9.93,4.93,75.0,81.0,22.46,1004.0,13.89,130.0
42,2013-02-12,+01:00,41.8002891,12.6004706,3.93,11.93,9.93,6.93,8.93,4.93,40.0,66.0,4.37,1002.0,4.63,160.0
43,2013-02-13,+01:00,41.8002891,12.6004706,1.93,10.93,8.93,3.93,7.93,1.93,0.0,66.0,0.0,1005.0,4.63,340.0
44,2013-02-14,+01:00,41.8002891,12.6004706,0.93,11.93,8.93,2.93,9.93,0.93,20.0,53.0,0.0,1014.0,3.6,50.0
45,2013-02-15,+01:00,41.8002891,12.6004706,0.93,10.93,7.93,3.93,7.93,0.93,40.0,61.0,0.13,1015.0,2.57,50.0
46,2013-02-16,+01:00,41.8002891,12.6004706,2.93,12.93,8.93,3.93,8.93,2.93,20.0,57.0,0.0,1017.0,3.09,40.0
