,date,tz,lat,lon,temp_min,temp_max,temp_1200,temp_0000,temp_1800,temp_0600,cloud_cover,humidity,precipitation_tot,pressure,wind_max_speed,wind_direction
0,2012-01-01,+01:00,41.8002891,12.6004706,3.42,12.33,10.12,4.75,9.61,3.42,32.03,53.31,0.0,1023.78,2.89,104.36
1,2012-01-02,+01:00,41.8002891,12.6004706,10.03,13.39,12.77,10.03,12.64,11.29,73.15,85.1,5.64,1023.99,5.18,149.79
2,2012-01-03,+01:00,41.8002891,12.6004706,10.66,14.56,13.24,13.18,13.19,11.69,79.15,80.4,14.58,1020.85,5.26,152.58
3,2012-01-04,+01:00,41.8002891,12.6004706,8.81,13.84,13.33,9.88,12.35,9.12,71.72,80.84,1.21,1020.71,4.61,226.08
4,2012-01-05,+01:00,41.8002891,12.6004706,7.96,13.22,12.63,10.1,12.29,7.96,48.7,76.12,0.5,1013.25,5.21,220.76
5,2012-01-06,+01:00,41.8002891,12.6004706,8.0,11.48,11.02,11.41,9.81,8.65,90.65,51.39,1.59,1000.98,9.62,342.46
6,2012-01-07,+01:00,41.8002891,12.6004706,5.88,12.47,10.89,7.98,9.46,6.28,0.0,45.76,0.0,1019.4,7.57,352.48
7,2012-01-08,+01:00,41.8002891,12.6004706,4.71,12.33,10.48,6.24,9.74,5.09,0.0,58.45,0.0,1016.8,3.95,295.16
8,2012-01-09,+01:00,41.8002891,12.6004706,3.99,12.68,10.78,6.24,9.43,4.02,0.0,52.92,0.0,1022.16,4.67,353.53
9,2012-01-10,+01:00,41.8002891,12.6004706,2.59,12.46,10.32,5.36,10.27,2.61,0.0,50.56,0.0,1027.23,4.13,28.07
10,2012-01-11,+01:00,41.8002891,12.6004706,3.32,12.82,10.7,6.62,9.07,3.89,0.0,55.47,0.0,1030.84,4.01,34.88
11,2012-01-12,+01:00,41.8002891,12.6004706,3.5,12.88,10.68,5.36,9.3,3.55,0.0,56.09,0.0,1031.15,1.72,293.31
12,2012-01-13,+01:00,41.8002891,12.6004706,5.57,12.88,11.83,5.75,11.89,7.03,68.19,72.18,0.32,1021.99,2.84,231.59
13,2012-01-14,+01:00,41.8002891,12.6004706,6.06,12.83,11.82,10.92,10.66,6.97,47.21,66.09,0.96,1017.47,2.94,52.22
14,2012-01-15,+01:00,41.8002891,12.6004706,2.43,11.17,8.89,6.58,8.98,3.07,4.93,55.49,0.21,1018.63,2.47,115.0
15,2012-01-16,+01:00,41.8002891,12.6004706,2.7,9.94,8.55,5.01,8.58,3.37,30.32,55.69,0.06,1020.49,3.2,113.05
16,2012-01-17,+01:00,41.8002891,12.6004706,0.89,9.82,6.94,3.28,5.21,0.99,0.0,56.33,0.0,1027.35,2.51,72.55
17,2012-01-18,+01:00,41.8002891,12.6004706,1.11,10.54,7.72,1.78,6.23,1.35,2.88,57.9,0.0,1032.19,2.25,353.79
18,2012-01-19,+01:00,41.8002891,12.6004706,2.14,11.44,8.99,3.75,10.57,2.25,59.93,72.84,0.16,1034.1,3.59,226.58
19,2012-01-20,+01:00,41.8002891,12.6004706,9.73,14.31,13.37,10.82,11.2,10.84,44.76,82.26,4.86,1017.84,4.66,214.93
20,2012-01-21,+01:00,41.8002891,12.6004706,5.44,13.66,11.12,9.01,10.29,5.69,35.61,74.58,0.03,1017.57,2.75,312.71
21,2012-01-22,+01:00,41.8002891,12.6004706,7.21,13.42,12.56,7.32,12.17,9.38,98.61,75.61,0.22,1015.18,4.99,155.63
22,2012-01-23,+01:00,41.8002891,12.6004706,9.06,14.03,13.06,10.74,12.48,9.68,76.46,73.12,0.03,1014.85,2.65,122.47
23,2012-01-24,+01:00,41.8002891,12.6004706,6.5,13.64,11.85,9.83,11.76,6.5,43.52,81.59,0.76,1011.76,6.04,1.91
24,2012-01-25,+01:00,41.8002891,12.6004706,4.5,10.09,9.22,7.0,7.79,4.52,0.0,48.59,0.0,1016.29,6.27,356.44
25,2012-01-26,+01:00,41.8002891,12.6004706,2.09,10.38,7.77,4.56,7.48,2.26,0.0,48.77,0.0,1018.91,5.46,359.55
26,2012-01-27,+01:00,41.8002891,12.6004706,1.66,11.37,9.44,3.11,9.45,1.66,2.67,48.6,0.0,1024.3,2.26,39.21
27,2012-01-28,+01:00,41.8002891,12.6004706,2.72,11.31,9.81,5.31,9.38,2.95,99.66,59.19,0.0,1023.54,3.13,126.97
28,2012-01-29,+01:00,41.8002891,12.6004706,6.3,11.59,10.17,6.91,9.31,6.71,91.31,61.5,0.0,1016.55,3.81,98.98
29,2012-01-30,+01:00,41.8002891,12.6004706,3.63,13.15,11.25,5.98,10.1,3.63,76.93,59.38,0.0,1015.79,4.37,31.72
30,2012-01-31,+01:00,41.8002891,12.6004706,5.12,8.52,8.15,6.5,8.01,5.41,100.0,74.58,1.37,1017.32,5.16,127.21
31,2012-02-01,+01:00,41.8002891,12.6004706,2.46,7.87,6.79,6.89,6.42,6.18,87.05,83.02,21.68,1001.92,7.17,145.03
32,2012-02-02,+01:00,41.8002891,12.6004706,0.64,6.81,6.25,1.99,6.25,1.25,100.0,76.51,12.08,1010.85,5.18,27.73
33,2012-02-03,+01:00,41.8002891,12.6004706,2.37,4.27,4.27,3.28,3.91,3.48,100.0,85.24,23.64,1005.51,6.71,17.89
34,2012-02-04,+01:00,41.8002891,12.6004706,-1.54,2.92,2.21,2.08,2.92,1.06,49.92,82.23,15.79,1013.23,6.72,16.69
35,2012-02-05,+01:00,41.8002891,12.6004706,-2.01,3.61,2.54,-2.01,3.4,-1.34,54.64,75.89,2.65,1018.38,3.78,17.1
36,2012-02-06,+01:00,41.8002891,12.6004706,-2.23,5.6,4.43,0.64,2.58,-1.68,23.36,65.34,0.44,1009.22,6.29,1.57
37,2012-02-07,+01:00,41.8002891,12.6004706,-0.41,6.31,4.25,-0.39,4.83,-0.09,96.15,66.56,0.43,1001.99,5.46,19.33
38,2012-02-08,+01:00,41.8002891,12.6004706,2.33,9.77,7.74,3.69,6.87,2.87,98.32,60.3,0.28,1014.98,5.37,21.86
39,2012-02-09,+01:00,41.8002891,12.6004706,-1.16,8.87,7.8,1.59,7.56,-1.16,6.3,58.16,0.21,1019.0,3.42,41.22
