,date,tz,lat,lon,temp_min,temp_max,temp_1200,temp_0000,temp_1800,temp_0600,cloud_cover,humidity,precipitation_tot,pressure,wind_max_speed,wind_direction
0,2011-01-01,+01:00,41.8002891,12.6004706,6.96,12.43,11.77,8.4,10.69,6.96,45.18,76.26,0.12,1018.79,2.15,61.98
1,2011-01-02,+01:00,41.8002891,12.6004706,7.67,12.05,11.21,8.13,10.46,7.8,36.77,75.21,0.06,1013.0,1.4,50.37
2,2011-01-03,+01:00,41.8002891,12.6004706,6.4,11.61,11.02,8.37,9.88,6.63,35.77,68.55,1.68,1014.38,3.14,31.61
3,2011-01-04,+01:00,41.8002891,12.6004706,5.54,8.33,7.93,7.5,7.56,5.72,100.0,72.16,0.91,1019.07,3.39,134.37
4,2011-01-05,+01:00,41.8002891,12.6004706,5.85,10.5,9.11,6.38,9.17,6.23,85.91,78.75,1.16,1019.12,3.77,116.29
5,2011-01-06,+01:00,41.8002891,12.6004706,6.73,13.23,11.94,7.2,11.84,7.02,59.54,75.92,0.07,1021.81,5.5,148.9
6,2011-01-07,+01:00,41.8002891,12.6004706,10.67,14.55,14.19,10.67,13.18,11.7,61.46,78.37,0.25,1025.89,6.41,143.42
7,2011-01-08,+01:00,41.8002891,12.6004706,10.28,14.94,14.37,11.38,13.31,10.28,96.06,76.01,0.0,1024.16,5.66,141.8
8,2011-01-09,+01:00,41.8002891,12.6004706,8.72,15.88,13.74,10.3,13.06,8.72,15.74,79.61,0.0,1023.51,4.24,138.48
9,2011-01-10,+01:00,41.8002891,12.6004706,10.62,16.1,15.19,11.5,13.93,10.71,88.37,66.89,2.26,1018.49,5.06,152.5
10,2011-01-11,+01:00,41.8002891,12.6004706,9.54,13.13,12.3,11.79,11.52,10.56,83.23,90.82,8.33,1016.69,1.93,137.29
11,2011-01-12,+01:00,41.8002891,12.6004706,7.52,13.76,11.97,9.52,11.5,8.55,0.28,71.53,3.14,1017.41,3.57,107.14
12,2011-01-13,+01:00,41.8002891,12.6004706,4.77,13.17,10.91,7.05,9.57,5.21,11.02,63.56,0.0,1020.28,2.28,314.53
13,2011-01-14,+01:00,41.8002891,12.6004706,5.0,13.68,11.52,6.86,11.83,5.23,26.86,77.26,0.0,1022.76,1.57,39.55
